Method,Verification,Model,Metric,Score
Random,without_verification,GPT-3,Precision,88.18
Random,without_verification,GPT-3,Recall,78.54
Random,without_verification,GPT-3,F1,83.08
Random,without_verification,GPT3.5,Precision,51.83
Random,without_verification,GPT3.5,Recall,51.36
Random,without_verification,GPT3.5,F1,51.6
Random,without_verification,Ollama3.1,Precision,21.74
Random,without_verification,Ollama3.1,Recall,29.55
Random,without_verification,Ollama3.1,F1,25.05
Random,without_verification,GPT-4o-mini,Precision,60.98
Random,without_verification,GPT-4o-mini,Recall,79.55
Random,without_verification,GPT-4o-mini,F1,69.03
Random,without_verification,Qwen2.5-72b,Precision,60.3
Random,without_verification,Qwen2.5-72b,Recall,90.45
Random,without_verification,Qwen2.5-72b,F1,72.36
Random,without_verification,Qwen2.5-14b,Precision,28.89
Random,without_verification,Qwen2.5-14b,Recall,5.91
Random,without_verification,Qwen2.5-14b,F1,9.81
Random,without_verification,Qwen2.5-72b-CNEC,Precision,68.42
Random,without_verification,Qwen2.5-72b-CNEC,Recall,61.91
Random,without_verification,Qwen2.5-72b-CNEC,F1,65.0
Random,with_verification,GPT-3,Precision,88.95
Random,with_verification,GPT-3,Recall,79.73
Random,with_verification,GPT-3,F1,84.34
Random,with_verification,GPT3.5,Precision,58.55
Random,with_verification,GPT3.5,Recall,51.36
Random,with_verification,GPT3.5,F1,54.72
Sentence,without_verification,GPT-3,Precision,90.47
Sentence,without_verification,GPT-3,Recall,95.0
Sentence,without_verification,GPT-3,F1,92.68
Sentence,without_verification,GPT3.5,Precision,73.42
Sentence,without_verification,GPT3.5,Recall,79.09
Sentence,without_verification,GPT3.5,F1,76.15
Sentence,without_verification,Ollama3.1,Precision,29.59
Sentence,without_verification,Ollama3.1,Recall,13.18
Sentence,without_verification,Ollama3.1,F1,18.23
Sentence,without_verification,GPT-4o-mini,Precision,60.55
Sentence,without_verification,GPT-4o-mini,Recall,79.55
Sentence,without_verification,GPT-4o-mini,F1,68.76
Sentence,without_verification,Qwen2.5-72b,Precision,74.82
Sentence,without_verification,Qwen2.5-72b,Recall,94.54
Sentence,without_verification,Qwen2.5-72b,F1,83.53
Sentence,without_verification,Qwen2.5-14b,Precision,51.22
Sentence,without_verification,Qwen2.5-14b,Recall,9.55
Sentence,without_verification,Qwen2.5-14b,F1,16.09
Sentence,with_verification,GPT-3,Precision,91.77
Sentence,with_verification,GPT-3,Recall,96.36
Sentence,with_verification,GPT-3,F1,94.01
Sentence,with_verification,GPT3.5,Precision,80.55
Sentence,with_verification,GPT3.5,Recall,79.09
Sentence,with_verification,GPT3.5,F1,79.82
